Feature,Fisher Score,Normalized Fisher Score
TMEM37,0.017401638364390442,0.012653473380643751
TMEM37.1,0.019619710523686624,0.03223573123774762
OSCAR,0.025905030281910206,0.08772569882245358
CEP89,0.01793662295432076,0.0173765867138532
CCDC57,0.035409924620846286,0.17163969191302703
RHOBTB2,0.02284783985763784,0.060735282412661684
PTBP2,0.018694934045402088,0.024071338847691904
SIRPB1,0.01955328810924189,0.03164932071828059
RPRML,0.02211145078120545,0.05423406886222907
CNST,0.04778159968333332,0.2808630687010915
SRRM2,0.032140943380195894,0.1427794795361837
HNRNPDL,0.02849568905031489,0.11059733886808902
ATP8B3,0.03364232675313328,0.15603444792303603
SCARA5,0.0188300704324899,0.02526439091623714
RELL1,0.025113388721583182,0.08073668852368909
IPP,0.019756421960668433,0.03344268863981991
ACP1,0.029314358009419787,0.11782496065199251
LOC389199,0.01685601156482701,0.007836405262270264
CLDN20,0.023221075456723434,0.06403039421148787
PHTF2,0.016440298090220278,0.004166277390053204
ADCY7,0.018297067654097294,0.02055877401315646
CCDC158,0.017559365846284262,0.01404597100911429
PRR16,0.018051608860619118,0.018391740191899514
WDR37,0.019283730531481892,0.029269530695260094
MLXIP,0.022083636983722735,0.05398851465335942
PCBD2,0.049324504356751286,0.29448460803522586
FCER1G,0.0268294312149861,0.09588677571031438
PRKD3,0.052153384612554005,0.3194593873199433
ESYT3,0.02083391204929522,0.04295531367572433
FUT8,0.0521069988723124,0.31904987064912765
RASGRF1,0.03122837930987388,0.13472290443276402
RASGEF1B.1,0.022459873355341636,0.057310118783046655
IL16,0.01637531204884478,0.003592547895278219
IDH1,0.03430191961395439,0.16185766581392838
NDUFS4,0.03175725763510767,0.1393921085866305
MGC40069,0.04672146964372532,0.2715037069189875
CACNB2,0.023100924479893974,0.0629696408900973
KIF26B,0.033222565586187636,0.15232858498477317
FHL5,0.02273303329744775,0.05972171229236278
C21orf58,0.016634117467132017,0.005877412440588804
C21orf58.1,0.017332009695014874,0.012038756428246656
IQCF3,0.01909056440329726,0.027564162853408597
GNG12,0.05709853726261887,0.3631176848782329
C8orf59,0.0239223699016821,0.07022177468456171
C8orf59.1,0.03173768458928533,0.139219307882769
CPEB3,0.016356042653931098,0.003422427974531461
